Time(s),FilteredDistance(m),SafeDistance(m),DistanceError(m),TargetVelocity(m/s),MeasuredVelocity(m/s),VelocityError(m/s),PIDOutput,PWMOutput
0.0,2.779,0.15,2.629,0.35,0.0,0.35,86.3,86
0.15,2.599,0.152,2.446,0.35,0.019,0.331,89.4,89
0.3,2.445,0.155,2.29,0.35,0.023,0.327,108.3,108
0.45,2.317,0.157,2.161,0.35,0.024,0.326,127.3,127
0.6,2.224,0.159,2.066,0.35,0.029,0.321,145.2,145
0.75,2.149,0.161,1.989,0.35,0.035,0.315,162.8,162
0.9,2.094,0.163,1.931,0.35,0.043,0.307,179.5,179
1.05,2.045,0.166,1.878,0.35,0.05,0.3,195.9,195
1.2,2.018,0.169,1.849,0.35,0.058,0.292,211.9,211
1.35,1.998,0.173,1.825,0.35,0.067,0.283,227.0,226
1.5,1.993,0.177,1.816,0.35,0.075,0.275,241.7,241
1.65,1.989,0.18,1.808,0.35,0.083,0.267,256.3,255
1.8,1.994,0.184,1.81,0.35,0.091,0.259,254.6,254
1.95,2.002,0.188,1.814,0.35,0.098,0.252,268.4,255
2.1,2.009,0.191,1.817,0.35,0.103,0.247,267.3,255
2.25,2.022,0.195,1.827,0.35,0.111,0.239,265.6,255
2.4,2.041,0.198,1.842,0.35,0.117,0.233,264.3,255
2.55,2.061,0.202,1.859,0.35,0.124,0.226,262.9,255
2.7,2.09,0.205,1.885,0.35,0.132,0.218,261.0,255
2.85,2.115,0.209,1.907,0.35,0.138,0.212,260.0,255
3.0,2.147,0.212,1.935,0.35,0.142,0.208,259.1,255
3.15,2.171,0.215,1.956,0.35,0.147,0.203,258.1,255
3.3,2.209,0.218,1.991,0.35,0.155,0.195,256.4,255
3.45,2.246,0.221,2.024,0.35,0.161,0.189,255.0,255
3.6,2.278,0.224,2.054,0.35,0.166,0.184,254.1,254
3.75,2.307,0.227,2.08,0.35,0.171,0.179,263.8,255
3.9,2.335,0.23,2.105,0.35,0.175,0.175,263.1,255
4.05,2.369,0.232,2.137,0.35,0.178,0.172,262.4,255
4.2,2.404,0.235,2.169,0.35,0.185,0.165,260.7,255
4.35,2.434,0.237,2.197,0.35,0.188,0.162,260.2,255
4.5,2.468,0.239,2.229,0.35,0.192,0.158,259.4,255
4.65,2.493,0.241,2.251,0.35,0.196,0.154,258.6,255
4.8,2.529,0.244,2.285,0.35,0.203,0.147,257.0,255
4.95,2.549,0.246,2.302,0.35,0.207,0.143,256.3,255
5.1,2.574,0.248,2.326,0.35,0.21,0.14,255.8,255
5.25,2.595,0.25,2.345,0.35,0.213,0.137,255.1,255
5.4,2.625,0.252,2.372,0.35,0.216,0.134,254.4,254
5.55,2.65,0.254,2.396,0.35,0.221,0.129,261.1,255
5.7,2.674,0.257,2.417,0.35,0.227,0.123,259.7,255
5.85,2.7,0.259,2.44,0.35,0.234,0.116,258.3,255
6.0,2.727,0.262,2.465,0.35,0.24,0.11,257.2,255
6.15,2.755,0.264,2.49,0.35,0.243,0.107,256.6,255
6.3,2.779,0.266,2.513,0.35,0.245,0.105,256.3,255
6.45,2.79,0.268,2.522,0.35,0.249,0.101,255.2,255
6.6,2.805,0.27,2.534,0.35,0.253,0.097,254.4,254
6.75,2.826,0.272,2.553,0.35,0.257,0.093,259.3,255
6.9,2.836,0.274,2.561,0.35,0.26,0.09,258.7,255
7.05,2.85,0.276,2.574,0.35,0.263,0.087,258.0,255
7.2,2.856,0.278,2.578,0.35,0.265,0.085,257.6,255
7.35,2.872,0.28,2.592,0.35,0.271,0.079,256.3,255
7.5,2.884,0.282,2.603,0.35,0.275,0.075,255.4,255
7.65,2.892,0.284,2.609,0.35,0.279,0.071,254.6,254
7.8,2.902,0.285,2.617,0.35,0.281,0.069,258.4,255
7.95,2.909,0.287,2.622,0.35,0.284,0.066,257.9,255
8.1,2.92,0.289,2.631,0.35,0.288,0.062,257.0,255
8.25,2.927,0.29,2.637,0.35,0.288,0.062,257.0,255
8.4,2.926,0.291,2.635,0.35,0.29,0.06,256.5,255
8.55,2.926,0.292,2.634,0.35,0.291,0.059,256.4,255
8.7,2.924,0.293,2.631,0.35,0.292,0.058,256.1,255
8.85,2.928,0.295,2.633,0.35,0.297,0.053,255.0,255
9.0,2.924,0.296,2.628,0.35,0.298,0.052,254.9,254
9.15,2.913,0.297,2.616,0.35,0.298,0.052,257.9,255
9.3,2.911,0.297,2.613,0.35,0.299,0.051,257.7,255
9.45,2.909,0.298,2.611,0.35,0.303,0.047,256.7,255
9.6,2.905,0.299,2.606,0.35,0.304,0.046,256.6,255
9.75,2.892,0.3,2.592,0.35,0.306,0.044,256.2,255
9.9,2.89,0.301,2.589,0.35,0.31,0.04,255.4,255
10.05,2.878,0.302,2.575,0.35,0.311,0.039,255.2,255
10.2,2.858,0.303,2.555,0.35,0.313,0.037,254.8,254
10.35,2.839,0.305,2.534,0.35,0.316,0.034,256.1,255
10.5,2.823,0.306,2.517,0.35,0.317,0.033,256.1,255
10.65,2.814,0.307,2.508,0.35,0.32,0.03,255.5,255
10.8,2.801,0.307,2.493,0.35,0.32,0.03,255.6,255
10.95,2.779,0.308,2.471,0.35,0.322,0.028,254.9,254
11.1,2.754,0.309,2.445,0.35,0.324,0.026,256.2,255
11.25,2.74,0.31,2.43,0.35,0.327,0.023,255.6,255
11.4,2.722,0.311,2.41,0.35,0.329,0.021,255.2,255
11.55,2.698,0.312,2.386,0.35,0.332,0.018,254.6,254
11.7,2.67,0.314,2.357,0.35,0.335,0.015,255.0,254
11.85,2.645,0.315,2.331,0.35,0.335,0.015,256.0,255
12.0,2.614,0.315,2.299,0.35,0.335,0.015,256.0,255
12.15,2.586,0.316,2.27,0.35,0.336,0.014,255.7,255
12.3,2.556,0.317,2.239,0.35,0.34,0.01,254.8,254
12.45,2.531,0.318,2.213,0.35,0.342,0.008,255.1,255
12.6,2.509,0.319,2.19,0.35,0.345,0.005,254.4,254
12.75,2.475,0.32,2.155,0.35,0.348,0.002,254.1,254
12.9,2.451,0.321,2.129,0.35,0.349,0.001,254.0,253
13.05,2.415,0.323,2.092,0.35,0.352,-0.002,253.3,253
13.2,2.381,0.323,2.058,0.35,0.352,-0.002,253.3,253
13.35,2.355,0.324,2.031,0.35,0.353,-0.003,253.0,252
13.5,2.319,0.325,1.995,0.35,0.352,-0.002,253.1,253
13.65,2.279,0.325,1.954,0.35,0.355,-0.005,252.1,252
13.8,2.245,0.326,1.919,0.35,0.357,-0.007,251.6,251
13.95,2.208,0.327,1.881,0.35,0.356,-0.006,251.4,251
14.1,2.167,0.327,1.839,0.35,0.359,-0.009,250.3,250
14.25,2.135,0.328,1.807,0.35,0.359,-0.009,249.8,249
14.4,2.091,0.328,1.763,0.35,0.359,-0.009,249.4,249
14.55,2.056,0.329,1.728,0.35,0.359,-0.009,248.7,248
14.7,2.009,0.329,1.68,0.35,0.358,-0.008,248.6,248
14.85,1.964,0.329,1.635,0.35,0.359,-0.009,247.9,247
15.0,1.924,0.329,1.595,0.35,0.359,-0.009,247.4,247
15.15,1.883,0.329,1.554,0.35,0.361,-0.011,246.3,246
15.3,1.841,0.329,1.511,0.35,0.359,-0.009,246.2,246
15.45,1.803,0.33,1.473,0.35,0.36,-0.01,245.3,245
15.6,1.761,0.33,1.431,0.35,0.362,-0.012,244.4,244
15.75,1.727,0.33,1.397,0.35,0.363,-0.013,243.4,243
15.9,1.685,0.331,1.354,0.35,0.365,-0.015,242.3,242
16.05,1.65,0.331,1.319,0.35,0.363,-0.013,241.9,241
16.2,1.603,0.331,1.272,0.35,0.365,-0.015,240.5,240
16.35,1.553,0.331,1.221,0.35,0.363,-0.013,240.2,240
16.5,1.509,0.331,1.177,0.35,0.362,-0.012,239.6,239
16.65,1.471,0.332,1.139,0.35,0.364,-0.014,238.4,238
16.8,1.43,0.332,1.098,0.35,0.365,-0.015,237.3,237
16.95,1.388,0.332,1.056,0.35,0.367,-0.017,236.1,236
17.1,1.338,0.333,1.005,0.35,0.369,-0.019,234.6,234
17.25,1.301,0.333,0.967,0.35,0.369,-0.019,233.5,233
17.4,1.256,0.333,0.922,0.35,0.368,-0.018,232.8,232
17.55,1.221,0.333,0.888,0.35,0.366,-0.016,232.2,232
17.7,1.182,0.333,0.849,0.35,0.363,-0.013,231.8,231
17.85,1.138,0.332,0.805,0.35,0.362,-0.012,231.4,231
18.0,1.098,0.332,0.766,0.35,0.359,-0.009,231.1,231
18.15,1.054,0.331,0.723,0.35,0.361,-0.011,230.1,230
18.3,1.017,0.331,0.686,0.35,0.359,-0.009,230.2,230
18.45,0.972,0.33,0.641,0.35,0.358,-0.008,229.7,229
18.6,0.93,0.33,0.599,0.35,0.359,-0.009,229.0,229
18.75,0.89,0.33,0.56,0.35,0.357,-0.007,228.9,228
18.9,0.855,0.329,0.525,0.35,0.356,-0.006,228.8,228
19.05,0.811,0.329,0.482,0.35,0.354,-0.004,229.0,228
19.2,0.776,0.328,0.448,0.35,0.354,-0.004,228.4,228
19.35,0.747,0.328,0.419,0.35,0.353,-0.003,228.6,228
19.5,0.706,0.327,0.379,0.35,0.352,-0.002,228.7,228
19.65,0.666,0.327,0.34,0.35,0.351,-0.001,228.7,228
19.8,0.628,0.327,0.302,0.35,0.351,-0.001,228.6,228
19.95,0.597,0.326,0.271,0.35,0.349,0.001,229.0,228
20.1,0.564,0.326,0.239,0.35,0.349,0.001,229.0,229
20.25,0.526,0.326,0.2,0.35,0.352,-0.002,228.5,228
20.4,0.494,0.326,0.168,0.35,0.351,-0.001,228.6,228
20.55,0.459,0.326,0.133,0.35,0.351,-0.001,228.6,228
20.7,0.43,0.326,0.104,0.35,0.351,-0.001,228.5,228
20.85,0.402,0.326,0.077,0.35,0.352,-0.002,228.2,228
21.0,0.38,0.326,0.054,0.35,0.354,-0.004,227.6,227
21.15,0.355,0.326,0.029,0.35,0.356,-0.006,227.1,227
21.3,0.337,0.327,0.01,0.35,0.355,-0.005,227.0,227
21.45,0.315,0.327,-0.012,0.32,0.356,-0.036,219.0,219
21.6,0.286,0.327,-0.041,0.29,0.355,-0.065,210.9,210
21.75,0.265,0.327,-0.062,0.26,0.353,-0.093,201.2,201
21.9,0.248,0.327,-0.079,0.23,0.354,-0.124,189.2,189
22.05,0.224,0.327,-0.103,0.2,0.353,-0.153,175.9,175
22.2,0.205,0.326,-0.121,0.17,0.349,-0.179,161.6,161
22.35,0.19,0.325,-0.136,0.14,0.346,-0.206,145.4,145
22.5,0.178,0.325,-0.147,0.11,0.345,-0.235,127.2,127
22.65,0.168,0.324,-0.156,0.08,0.344,-0.264,107.4,107
22.8,0.158,0.323,-0.165,0.05,0.341,-0.291,86.4,86
22.95,0.149,0.322,-0.173,0.02,0.336,-0.316,-67.3,0
23.1,0.128,0.32,-0.192,0.0,0.329,-0.329,-69.6,0
23.25,0.111,0.318,-0.207,0.0,0.322,-0.322,-79.4,0
23.4,0.103,0.315,-0.212,0.0,0.313,-0.313,-77.1,0
23.55,0.101,0.312,-0.21,0.0,0.303,-0.303,-74.8,0
23.7,0.094,0.308,-0.214,0.0,0.295,-0.295,-72.8,0
23.85,0.087,0.305,-0.217,0.0,0.289,-0.289,-71.4,0
24.0,0.082,0.301,-0.219,0.0,0.281,-0.281,-69.4,0
24.15,0.082,0.298,-0.216,0.0,0.276,-0.276,-68.0,0
24.3,0.075,0.294,-0.22,0.0,0.268,-0.268,-66.1,0
24.45,0.077,0.291,-0.214,0.0,0.262,-0.262,-64.5,0
24.6,0.084,0.288,-0.203,0.0,0.255,-0.255,-63.0,0
24.75,0.091,0.284,-0.193,0.0,0.248,-0.248,-61.1,0
24.9,0.099,0.281,-0.182,0.0,0.241,-0.241,-59.3,0
25.05,0.097,0.278,-0.181,0.0,0.237,-0.237,-58.4,0
25.2,0.108,0.275,-0.167,0.0,0.233,-0.233,-57.4,0
25.35,0.116,0.272,-0.156,0.0,0.228,-0.228,-56.2,0
25.5,0.119,0.269,-0.151,0.0,0.221,-0.221,-54.6,0
25.65,0.13,0.266,-0.136,0.0,0.216,-0.216,-45.2,0
25.8,0.146,0.263,-0.117,0.0,0.208,-0.208,-43.5,0
25.95,0.151,0.26,-0.109,0.0,0.203,-0.203,-42.4,0
26.1,0.156,0.258,-0.102,0.0,0.199,-0.199,-41.6,0
26.25,0.173,0.255,-0.082,0.0,0.196,-0.196,-41.1,0
26.4,0.183,0.253,-0.07,0.0,0.189,-0.189,-39.4,0
26.55,0.2,0.25,-0.05,0.0,0.183,-0.183,-38.2,0
26.7,0.215,0.247,-0.032,0.0,0.177,-0.177,-37.0,0
26.85,0.239,0.244,-0.005,0.099,0.173,-0.073,-11.6,0
27.0,0.265,0.242,0.023,0.346,0.171,0.176,46.0,46
27.15,0.281,0.24,0.041,0.35,0.167,0.183,48.9,48
27.3,0.309,0.238,0.071,0.35,0.167,0.183,59.5,59
27.45,0.326,0.237,0.09,0.35,0.163,0.187,71.2,71
27.6,0.354,0.235,0.119,0.35,0.161,0.189,82.3,82
27.75,0.381,0.234,0.147,0.35,0.16,0.19,93.6,93
27.9,0.402,0.233,0.169,0.35,0.158,0.192,105.3,105
28.05,0.432,0.232,0.201,0.35,0.158,0.192,116.3,116
28.2,0.465,0.231,0.235,0.35,0.157,0.193,127.9,127
28.35,0.491,0.23,0.261,0.35,0.156,0.194,139.3,139
28.5,0.524,0.23,0.294,0.35,0.157,0.193,150.4,150
28.65,0.563,0.23,0.333,0.35,0.16,0.19,161.1,161
28.8,0.6,0.23,0.37,0.35,0.162,0.188,171.8,171
28.95,0.63,0.23,0.4,0.35,0.164,0.186,182.4,182
29.1,0.671,0.231,0.439,0.35,0.168,0.182,192.3,192
29.25,0.705,0.233,0.472,0.35,0.173,0.177,202.0,201
29.4,0.737,0.234,0.502,0.35,0.178,0.172,211.3,211
29.55,0.77,0.236,0.534,0.35,0.182,0.168,220.6,220
29.7,0.805,0.238,0.567,0.35,0.187,0.163,229.2,229
29.85,0.845,0.24,0.606,0.35,0.191,0.159,238.0,238
30.0,0.882,0.242,0.64,0.35,0.197,0.153,245.9,245
30.15,0.914,0.244,0.67,0.35,0.2,0.15,254.4,254
30.3,0.949,0.246,0.703,0.35,0.203,0.147,262.5,255
30.45,0.989,0.248,0.741,0.35,0.206,0.144,261.9,255
30.6,1.027,0.25,0.777,0.35,0.213,0.137,260.2,255
30.75,1.066,0.252,0.814,0.35,0.219,0.131,259.1,255
