Time(s),FilteredDistance(m),SafeDistance(m),DistanceError(m),TargetVelocity(m/s),MeasuredVelocity(m/s),VelocityError(m/s),PIDOutput,PWMOutput
1775706233.476,0.143,0.15,-0.007,0.32,0.0,0.32,78.9,0
1775706233.479,0.143,0.15,-0.007,0.29,0.0,0.29,59.8,0
1775706233.629,0.143,0.15,-0.007,0.26,0.0,0.26,53.5,0
1775706233.779,0.143,0.15,-0.007,0.23,0.0,0.23,47.2,0
1775706233.929,0.142,0.15,-0.008,0.2,0.0,0.2,40.9,0
1775706234.079,0.142,0.15,-0.008,0.17,0.0,0.17,34.6,0
1775706234.229,0.142,0.15,-0.008,0.14,0.0,0.14,28.3,0
1775706234.38,0.141,0.15,-0.009,0.11,0.0,0.11,22.0,0
1775706234.53,0.142,0.15,-0.008,0.08,0.0,0.08,15.7,0
1775706234.68,0.142,0.15,-0.008,0.05,0.0,0.05,9.4,0
1775706234.83,0.143,0.15,-0.007,0.02,0.0,0.02,3.1,0
1775706234.98,0.144,0.15,-0.006,0.0,0.0,0.0,-0.7,0
1775706235.131,0.146,0.15,-0.004,0.0,0.0,0.0,0.0,0
1775706235.281,0.147,0.15,-0.003,0.0,0.0,0.0,0.0,0
1775706235.431,0.15,0.15,-0.0,0.0,0.0,0.0,0.0,0
1775706235.582,0.152,0.15,0.002,0.093,0.0,0.093,22.9,90
1775706235.732,0.157,0.15,0.007,0.164,0.0,0.164,42.5,90
1775706235.882,0.162,0.15,0.012,0.22,0.0,0.22,63.2,90
1775706236.032,0.168,0.15,0.018,0.269,0.0,0.269,86.3,90
1775706236.182,0.176,0.15,0.026,0.323,0.0,0.323,113.5,113
1775706236.332,0.186,0.15,0.036,0.35,0.0,0.35,137.0,137
1775706236.482,0.195,0.15,0.045,0.35,0.0,0.35,156.5,156
1775706236.633,0.205,0.15,0.055,0.35,0.0,0.35,177.0,176
1775706236.783,0.216,0.15,0.066,0.35,0.0,0.35,197.5,197
1775706236.933,0.227,0.15,0.077,0.35,0.0,0.35,217.9,217
1775706237.083,0.24,0.15,0.09,0.35,0.0,0.35,73.5,90
1775706237.233,0.25,0.15,0.1,0.35,0.0,0.35,94.0,93
1775706237.383,0.26,0.15,0.11,0.35,0.0,0.35,114.4,114
1775706237.534,0.27,0.15,0.12,0.35,0.0,0.35,134.9,134
1775706237.686,0.281,0.15,0.131,0.35,0.0,0.35,155.4,155
1775706237.835,0.291,0.15,0.141,0.35,0.0,0.35,175.9,175
1775706237.985,0.301,0.15,0.151,0.35,0.0,0.35,196.3,196
1775706238.136,0.311,0.15,0.161,0.35,0.0,0.35,216.8,216
1775706238.286,0.319,0.15,0.169,0.35,0.0,0.35,73.5,90
1775706238.436,0.326,0.15,0.176,0.35,0.0,0.35,94.0,93
1775706238.586,0.33,0.15,0.18,0.35,0.0,0.35,114.4,114
1775706238.737,0.331,0.15,0.181,0.35,0.0,0.35,134.9,134
1775706238.887,0.326,0.15,0.176,0.35,0.0,0.35,155.4,155
1775706239.038,0.321,0.15,0.171,0.35,0.0,0.35,175.9,175
1775706239.187,0.314,0.15,0.164,0.35,0.0,0.35,196.3,196
1775706239.339,0.304,0.15,0.154,0.35,0.0,0.35,216.8,216
1775706239.487,0.292,0.15,0.142,0.35,0.0,0.35,73.5,90
1775706239.638,0.28,0.15,0.13,0.35,0.0,0.35,94.0,93
1775706239.787,0.269,0.15,0.119,0.35,0.0,0.35,114.4,114
1775706239.937,0.257,0.15,0.107,0.35,0.0,0.35,134.9,134
