time,dist,d_safe,df,speed,v_leader,v_ref,uff,u_mpc,u_total,pwm,pred_penalty
0.0,1.5441,0.253,1.2911,0.0043,0.2,0.38,0.76,0.317,1.0,255,0.0
0.2,1.5586,0.2974,1.2612,0.0677,0.2045,0.38,0.76,0.2823,1.0,255,0.0
0.4,1.5907,0.3365,1.2541,0.1236,0.209,0.38,0.76,0.2536,1.0,255,0.0
0.6,1.5871,0.3733,1.2138,0.1762,0.2135,0.38,0.76,0.2233,0.9833,252,0.0
0.8,1.5841,0.3999,1.1842,0.2142,0.218,0.38,0.76,0.2013,0.9613,248,0.0
1.0,1.5947,0.4236,1.1711,0.248,0.2224,0.38,0.76,0.1831,0.9431,245,0.0
1.2,1.577,0.4397,1.1373,0.271,0.2269,0.38,0.76,0.1682,0.9282,243,0.0
1.4,1.5631,0.456,1.1071,0.2942,0.2313,0.38,0.76,0.1536,0.9136,241,0.0
1.6,1.5485,0.4735,1.0749,0.3193,0.2358,0.38,0.76,0.1378,0.8978,238,0.0
1.8,1.537,0.4845,1.0524,0.335,0.2402,0.38,0.76,0.1277,0.8877,237,0.0
2.0,1.5129,0.4938,1.0192,0.3482,0.2445,0.38,0.76,0.1178,0.8778,235,0.0
2.2,1.4817,0.5009,0.9808,0.3585,0.2489,0.38,0.76,0.1088,0.8688,234,0.0
2.4,1.4746,0.5036,0.971,0.3623,0.2532,0.38,0.76,0.106,0.866,233,0.0
2.6,1.4369,0.5121,0.9248,0.3745,0.2575,0.38,0.76,0.0952,0.8552,231,0.0
2.8,1.4108,0.5108,0.8999,0.3726,0.2617,0.38,0.76,0.0937,0.8537,231,0.0
3.0,1.3952,0.5166,0.8786,0.3808,0.2659,0.38,0.76,0.0875,0.8475,230,0.0
3.2,1.3719,0.5169,0.855,0.3813,0.2701,0.38,0.76,0.0849,0.8449,230,0.0
3.4,1.3579,0.5197,0.8382,0.3853,0.2742,0.38,0.76,0.0812,0.8412,229,0.0
3.6,1.3282,0.5233,0.8048,0.3905,0.2783,0.38,0.76,0.0752,0.8352,228,0.0
3.8,1.3118,0.5224,0.7893,0.3892,0.2823,0.38,0.76,0.0743,0.8343,228,0.0
4.0,1.2806,0.5249,0.7557,0.3928,0.2863,0.38,0.76,0.0692,0.8292,227,0.0
4.2,1.2668,0.5272,0.7395,0.396,0.2902,0.38,0.76,0.0659,0.8259,227,0.0
4.4,1.2527,0.5271,0.7256,0.3958,0.2941,0.38,0.76,0.0646,0.8246,226,0.0
4.6,1.2256,0.5263,0.6993,0.3947,0.2979,0.38,0.76,0.0626,0.8226,226,0.0
4.8,1.2022,0.5265,0.6757,0.395,0.3016,0.38,0.76,0.0601,0.8201,226,0.0
5.0,1.1949,0.5303,0.6646,0.4004,0.3053,0.38,0.76,0.0563,0.8163,225,0.0
5.2,1.1709,0.5278,0.6431,0.3968,0.3089,0.38,0.76,0.0559,0.8159,225,0.0
5.4,1.1615,0.5283,0.6332,0.3976,0.3125,0.38,0.76,0.0545,0.8145,225,0.0
5.6,1.1298,0.527,0.6028,0.3957,0.316,0.38,0.76,0.0524,0.8124,224,0.0
5.8,1.1223,0.5254,0.5969,0.3934,0.3194,0.38,0.76,0.053,0.813,225,0.0
6.0,1.1044,0.529,0.5753,0.3986,0.3227,0.38,0.76,0.0482,0.8082,224,0.0
6.2,1.0923,0.5311,0.5612,0.4016,0.3259,0.38,0.76,0.0453,0.8053,223,0.0
6.4,1.0683,0.5297,0.5387,0.3995,0.3291,0.38,0.76,0.0441,0.8041,223,0.0
6.6,1.0572,0.5292,0.5281,0.3988,0.3322,0.38,0.76,0.0434,0.8034,223,0.0
6.8,1.0561,0.5278,0.5283,0.3968,0.3352,0.38,0.76,0.0444,0.8044,223,0.0
7.0,1.0387,0.5246,0.5141,0.3923,0.3382,0.38,0.76,0.0453,0.8053,223,0.0
7.2,1.0256,0.5264,0.4992,0.3949,0.341,0.38,0.76,0.0425,0.8025,223,0.0
7.4,1.0273,0.5233,0.504,0.3905,0.3438,0.38,0.76,0.0452,0.8052,223,0.0
7.6,1.0086,0.5287,0.4798,0.3982,0.3464,0.38,0.76,0.0389,0.7989,222,0.0
7.8,0.9938,0.5225,0.4713,0.3893,0.349,0.38,0.76,0.0425,0.8025,223,0.0
8.0,1.0035,0.5228,0.4807,0.3897,0.3515,0.38,0.76,0.0432,0.8032,223,0.0
8.2,0.9949,0.5223,0.4726,0.3889,0.3538,0.38,0.76,0.0428,0.8028,223,0.0
8.4,0.9849,0.5278,0.4571,0.3968,0.3561,0.38,0.76,0.0373,0.7973,222,0.0
8.6,0.9686,0.5284,0.4402,0.3977,0.3583,0.38,0.76,0.0352,0.7952,222,0.0
8.8,0.9688,0.5268,0.442,0.3954,0.3604,0.38,0.76,0.0365,0.7965,222,0.0
9.0,0.9641,0.5285,0.4357,0.3978,0.3624,0.38,0.76,0.0347,0.7947,222,0.0
9.2,0.952,0.5278,0.4242,0.3969,0.3643,0.38,0.76,0.034,0.794,222,0.0
9.4,0.9515,0.5221,0.4294,0.3887,0.3661,0.38,0.76,0.0386,0.7986,222,0.0
9.6,0.936,0.5237,0.4123,0.391,0.3678,0.38,0.76,0.0357,0.7957,222,0.0
9.8,0.935,0.5281,0.407,0.3973,0.3693,0.38,0.76,0.0321,0.7921,221,0.0
10.0,0.9403,0.5255,0.4149,0.3935,0.3708,0.38,0.76,0.0347,0.7947,222,0.0
10.2,0.9336,0.5271,0.4065,0.3959,0.3722,0.38,0.76,0.0327,0.7927,221,0.0
10.4,0.9352,0.5272,0.408,0.396,0.3734,0.38,0.76,0.0328,0.7928,221,0.0
10.6,0.9227,0.527,0.3957,0.3957,0.3746,0.38,0.76,0.0317,0.7917,221,0.0
