time,dist,d_safe,df,speed,v_leader,v_ref,uff,u_mpc,u_total,pwm,pred_penalty
1773841236.005,0.5012,0.2500,0.2512,0.0000,0.0000,0.0264,0.0000,0.0500,0.0500,95,0.0000
1773841236.206,0.4954,0.2500,0.2454,0.0000,0.0000,0.0258,0.0000,0.0611,0.0611,103,0.0000
1773841236.406,0.4866,0.2500,0.2366,0.0000,0.0000,0.0416,0.0000,0.0857,0.0857,108,0.0000
1773841236.606,0.4791,0.2500,0.2291,0.0000,0.0000,0.0511,0.0000,0.1200,0.1200,114,0.0000
1773841236.806,0.4728,0.2500,0.2228,0.0000,0.0000,0.0566,0.0000,0.1589,0.1589,120,0.0000
1773841237.006,0.4674,0.2500,0.2174,0.0000,0.0000,0.0596,0.0000,0.1983,0.1983,126,0.0000
1773841237.207,0.4627,0.2500,0.2127,0.0000,0.0000,0.0611,0.0000,0.2353,0.2353,132,0.0000
1773841237.407,0.4588,0.2500,0.2088,0.0000,0.0000,0.0616,0.0000,0.2683,0.2683,137,0.0000
1773841237.607,0.4555,0.2500,0.2055,0.0000,0.0000,0.0616,0.0000,0.2967,0.2967,142,0.0000
1773841237.807,0.4532,0.2500,0.2032,0.0000,0.0000,0.0614,0.0000,0.3204,0.3204,146,0.0000
1773841238.008,0.4508,0.2500,0.2008,0.0000,0.0000,0.0610,0.0000,0.3396,0.3396,149,0.0000
1773841238.208,0.4486,0.2500,0.1986,0.0000,0.0000,0.0605,0.0000,0.3548,0.3548,151,0.0000
1773894366.575,0.4468,0.2500,0.1968,0.0000,0.0000,0.0600,0.0000,0.3664,0.3664,153,0.0000
1773894366.775,0.4550,0.2586,0.1964,0.0000,0.0122,0.0639,0.0000,0.3847,0.3847,156,0.0000
1773894366.975,0.4570,0.2581,0.1989,0.0000,0.0116,0.0665,0.0000,0.4066,0.4066,160,0.0000
1773894367.176,0.4538,0.2557,0.1981,0.0000,0.0081,0.0669,0.0000,0.4269,0.4269,163,0.0000
1773894367.376,0.4513,0.2540,0.1973,0.0000,0.0057,0.0662,0.0000,0.4429,0.4429,165,0.0000
1773894367.576,0.4490,0.2528,0.1962,0.0000,0.0040,0.0650,0.0000,0.4541,0.4541,167,0.0000
1773894367.777,0.4568,0.2602,0.1966,0.0000,0.0145,0.0680,0.0000,0.4701,0.4701,170,0.0000
1773894367.977,0.4577,0.2580,0.1996,0.0000,0.0115,0.0692,0.0000,0.4867,0.4867,172,0.0000
1773894368.177,0.4589,0.2569,0.2020,0.0000,0.0099,0.0696,0.0000,0.5022,0.5022,175,0.0000
1773894368.378,0.4600,0.2560,0.2040,0.0000,0.0085,0.0697,0.0000,0.5158,0.5158,177,0.0000
1773894368.578,0.4609,0.2551,0.2058,0.0000,0.0073,0.0694,0.0000,0.5270,0.5270,179,0.0000
1773894368.778,0.4611,0.2538,0.2073,0.0000,0.0055,0.0688,0.0000,0.5351,0.5351,180,0.0000
1773894368.978,0.4575,0.2527,0.2048,0.0000,0.0038,0.0676,0.0000,0.5392,0.5392,181,0.0000
1773894369.179,0.4581,0.2525,0.2056,0.0000,0.0036,0.0668,0.0000,0.5407,0.5407,181,0.0000
1773894369.379,0.4594,0.2532,0.2063,0.0000,0.0045,0.0666,0.0000,0.5413,0.5413,181,0.0000
1773894369.579,0.4649,0.2580,0.2069,0.0000,0.0114,0.0690,0.0000,0.5469,0.5469,182,0.0000
1773894369.780,0.4652,0.2559,0.2093,0.0000,0.0084,0.0698,0.0000,0.5537,0.5537,183,0.0000
1773894369.980,0.4648,0.2541,0.2107,0.0000,0.0059,0.0695,0.0000,0.5593,0.5593,184,0.0000
1773894370.180,0.4606,0.2529,0.2077,0.0000,0.0041,0.0685,0.0000,0.5616,0.5616,184,0.0000
1773894370.380,0.4569,0.2520,0.2049,0.0000,0.0029,0.0670,0.0000,0.5604,0.5604,184,0.0000
1773894370.581,0.4583,0.2528,0.2054,0.0000,0.0041,0.0666,0.0000,0.5579,0.5579,184,0.0000
1773894370.781,0.4596,0.2533,0.2062,0.0000,0.0048,0.0666,0.0000,0.5556,0.5556,183,0.0000
1773894370.981,0.4605,0.2533,0.2072,0.0000,0.0048,0.0667,0.0000,0.5538,0.5538,183,0.0000
1773894371.182,0.4613,0.2532,0.2081,0.0000,0.0046,0.0668,0.0000,0.5525,0.5525,183,0.0000
1773894371.382,0.4583,0.2522,0.2061,0.0000,0.0032,0.0662,0.0000,0.5500,0.5500,182,0.0000
1773894371.582,0.4551,0.2516,0.2035,0.0000,0.0022,0.0652,0.0000,0.5455,0.5455,182,0.0000
1773894371.782,0.4561,0.2521,0.2039,0.0000,0.0031,0.0648,0.0000,0.5407,0.5407,181,0.0000
1773894371.983,0.4577,0.2532,0.2045,0.0000,0.0046,0.0652,0.0000,0.5373,0.5373,180,0.0000
1773894372.183,0.4634,0.2583,0.2052,0.0000,0.0118,0.0681,0.0000,0.5407,0.5407,181,0.0000
1773894372.383,0.4601,0.2558,0.2043,0.0000,0.0083,0.0686,0.0000,0.5452,0.5452,182,0.0000
1773894372.584,0.4572,0.2541,0.2032,0.0000,0.0058,0.0679,0.0000,0.5480,0.5480,182,0.0000
1773894372.784,0.4547,0.2528,0.2018,0.0000,0.0041,0.0668,0.0000,0.5478,0.5478,182,0.0000
1773894372.984,0.4525,0.2520,0.2005,0.0000,0.0028,0.0655,0.0000,0.5445,0.5445,182,0.0000
1773894373.184,0.4507,0.2514,0.1993,0.0000,0.0020,0.0642,0.0000,0.5386,0.5386,181,0.0000
1773894373.385,0.4491,0.2510,0.1981,0.0000,0.0014,0.0630,0.0000,0.5305,0.5305,179,0.0000
1773894373.585,0.4478,0.2507,0.1971,0.0000,0.0010,0.0620,0.0000,0.5211,0.5211,178,0.0000
1773894373.785,0.4466,0.2505,0.1962,0.0000,0.0007,0.0611,0.0000,0.5107,0.5107,176,0.0000
1773894373.985,0.4457,0.2503,0.1953,0.0000,0.0005,0.0604,0.0000,0.5000,0.5000,174,0.0000
1773894374.186,0.4442,0.2502,0.1940,0.0000,0.0003,0.0597,0.0000,0.4891,0.4891,173,0.0000
1773894374.386,0.4431,0.2502,0.1929,0.0000,0.0002,0.0592,0.0000,0.4783,0.4783,171,0.0000
1773894374.586,0.4421,0.2501,0.1920,0.0000,0.0002,0.0587,0.0000,0.4678,0.4678,169,0.0000
1773894374.787,0.4457,0.2538,0.1919,0.0000,0.0055,0.0602,0.0000,0.4621,0.4621,168,0.0000
1773894374.987,0.4532,0.2606,0.1926,0.0000,0.0152,0.0647,0.0000,0.4673,0.4673,169,0.0000
1773894375.187,0.4597,0.2642,0.1955,0.0000,0.0202,0.0696,0.0000,0.4836,0.4836,172,0.0000
1773894375.387,0.4567,0.2599,0.1968,0.0000,0.0142,0.0709,0.0000,0.5016,0.5016,175,0.0000
1773894375.588,0.4543,0.2569,0.1973,0.0000,0.0099,0.0703,0.0000,0.5164,0.5164,177,0.0000
1773894375.788,0.4522,0.2549,0.1973,0.0000,0.0069,0.0688,0.0000,0.5261,0.5261,179,0.0000
1773894375.988,0.4498,0.2534,0.1964,0.0000,0.0049,0.0671,0.0000,0.5303,0.5303,179,0.0000
1773894376.188,0.4477,0.2524,0.1953,0.0000,0.0034,0.0653,0.0000,0.5297,0.5297,179,0.0000
1773894376.389,0.4465,0.2517,0.1949,0.0000,0.0024,0.0637,0.0000,0.5251,0.5251,179,0.0000
1773894376.589,0.4456,0.2512,0.1944,0.0000,0.0017,0.0624,0.0000,0.5179,0.5179,177,0.0000
1773894376.789,0.4443,0.2508,0.1935,0.0000,0.0012,0.0613,0.0000,0.5087,0.5087,176,0.0000
1773894376.990,0.4431,0.2506,0.1925,0.0000,0.0008,0.0603,0.0000,0.4983,0.4983,174,0.0000
1773894377.190,0.4421,0.2504,0.1917,0.0000,0.0006,0.0595,0.0000,0.4873,0.4873,172,0.0000
1773894377.390,0.4411,0.2503,0.1909,0.0000,0.0004,0.0589,0.0000,0.4762,0.4762,171,0.0000
1773894377.590,0.4404,0.2502,0.1902,0.0000,0.0003,0.0583,0.0000,0.4652,0.4652,169,0.0000
1773894377.791,0.4397,0.2501,0.1896,0.0000,0.0002,0.0579,0.0000,0.4547,0.4547,167,0.0000
1773894377.991,0.4393,0.2501,0.1892,0.0000,0.0001,0.0575,0.0000,0.4447,0.4447,166,0.0000
1773894378.191,0.4613,0.2732,0.1881,0.0000,0.0331,0.0687,0.0000,0.4610,0.4610,168,0.0000
1773894378.391,0.4666,0.2718,0.1948,0.0000,0.0312,0.0760,0.0000,0.4929,0.4929,173,0.0000
1773894378.592,0.4621,0.2653,0.1969,0.0000,0.0218,0.0777,0.0000,0.5260,0.5260,179,0.0000
1773894378.792,0.4583,0.2607,0.1976,0.0000,0.0153,0.0766,0.0000,0.5531,0.5531,183,0.0000
1773894378.992,0.4550,0.2575,0.1975,0.0000,0.0107,0.0743,0.0000,0.5715,0.5715,186,0.0000
1773894379.193,0.4522,0.2552,0.1970,0.0000,0.0075,0.0716,0.0000,0.5811,0.5811,187,0.0000
1773894379.393,0.4499,0.2537,0.1962,0.0000,0.0052,0.0690,0.0000,0.5828,0.5828,188,0.0000
1773894379.593,0.4479,0.2526,0.1954,0.0000,0.0037,0.0666,0.0000,0.5783,0.5783,187,0.0000
1773894379.793,0.4462,0.2518,0.1944,0.0000,0.0026,0.0646,0.0000,0.5692,0.5692,186,0.0000
1773894379.994,0.4447,0.2513,0.1935,0.0000,0.0018,0.0629,0.0000,0.5570,0.5570,184,0.0000
1773894380.194,0.4435,0.2509,0.1926,0.0000,0.0013,0.0616,0.0000,0.5429,0.5429,181,0.0000
1773894380.394,0.4469,0.2542,0.1927,0.0000,0.0059,0.0623,0.0000,0.5320,0.5320,180,0.0000
1773894380.595,0.4454,0.2529,0.1925,0.0000,0.0042,0.0622,0.0000,0.5222,0.5222,178,0.0000
1773894380.795,0.4441,0.2520,0.1920,0.0000,0.0029,0.0616,0.0000,0.5125,0.5125,177,0.0000
1773894380.995,0.4430,0.2514,0.1915,0.0000,0.0020,0.0609,0.0000,0.5025,0.5025,175,0.0000
1773894381.196,0.4420,0.2510,0.1910,0.0000,0.0014,0.0601,0.0000,0.4921,0.4921,173,0.0000
